Pokemon Name,Entropy,Average Pokemon Remaining
Wobbuffet,4.18441090462759,64.9556153153133
Tranquill,4.183148680199814,65.01247032535112
Minccino,4.179365160616658,65.18319162831344
Dubwool,4.178875366387964,65.2053250454707
Slugma,4.1784766568358,65.2233479664627
Cascoon,4.176411148047894,65.3167952159572
Purrloin,4.17439384839167,65.40819063167872
Karrablast,4.174187496353428,65.41754678691589
Braviary,4.1709250005341465,65.56564875359112
Meloetta Aria Forme,4.170562787432794,65.582112190295
Glameow,4.169391864648041,65.63536167030021
Gothita,4.167262309847357,65.73231723351356
Silcoon,4.160380137982048,66.04663302387272
Espeon,4.156098628857744,66.24293180744006
Galarian Darumaka,4.155899638844317,66.25206928322564
Treecko,4.155777745968188,66.25766713738746
Cofagrigus,4.155572886559059,66.26707624319597
Binacle,4.147457617303338,66.64088394635131
Diggersby,4.146737177654409,66.67417076251598
Crabrawler,4.144069459416598,66.79757345495395
Mandibuzz,4.141460627316662,66.9184730940211
Thwackey,4.140772943046532,66.95037848606164
Remoraid,4.14066080742049,66.95558250643096
Aipom,4.1399866716593365,66.9868765073653
Talonflame,4.139436160128632,67.01244260667698
Blissey,4.138133344257072,67.07298506592667
Perrserker,4.136310410895302,67.15778944853952
Sunflora,4.136018993121807,67.17135638380697
Cinderace,4.136010224580825,67.17176464512659
Snorunt,4.135409569788112,67.19973690640064
Vivillon,4.134664209249352,67.23446425470935
Poochyena,4.13288733644709,67.3173235476449
Umbreon,4.130164380799719,67.4444988501223
Ludicolo,4.128132072791416,67.5395740944735
Whirlipede,4.126996426487797,67.59276015376349
Shinx,4.126852950620867,67.59948258077088
Seismitoad,4.125087300365436,67.68226522574632
Seedot,4.1237598925593755,67.74456758946565
Piplup,4.123749186792729,67.74507030154449
Bruxish,4.122975060667667,67.781430932084
Sentret,4.120164409228867,67.91361109964727
Mudkip,4.118115795131583,68.01011632406212
Furret,4.117479678610504,68.04011011792755
Stantler,4.115380379740594,68.1391889218444
Snover,4.115293637618041,68.14328591767361
Tirtouga,4.114466097011434,68.18238462592697
Totodile,4.114325791197655,68.1890158611375
Popplio,4.111637986325478,68.31617343649104
Lillipup,4.108859803747642,68.44785591804249
Krokorok,4.107501029680263,68.51235255818798
Drifblim,4.10638180659516,68.56552412667602
Chimecho,4.106330536849052,68.56796081591246
Heliolisk,4.106168020972372,68.57568525497169
Gastrodon,4.105442514328613,68.61017946593329
Cufant,4.103632079688852,68.69633226518586
Phanpy,4.102536264745931,68.74853114424275
Chimchar,4.102436157814075,68.75330169041294
Marshtomp,4.100874184502339,68.82777964665658
Escavalier,4.097551470447945,68.98648164794801
Greninja,4.09729451563791,68.99876975214276
Shelmet,4.0940748793269695,69.15292500173986
Ferroseed,4.091336976421753,69.284285933021
Bunnelby,4.091183142871663,69.29167406123197
Darmanitan Zen Mode,4.088761354171138,69.40808862898571
Chikorita,4.087713021473736,69.45854226582975
Scrafty,4.087139237693081,69.4861725759346
Corvisquire,4.083139309298952,69.679093021692
Wooloo,4.080306618260681,69.81604035846831
Greedent,4.080306618260681,69.81604035846831
Golett,4.080279825738631,69.81733693544193
Chandelure,4.078936505215037,69.88237544736133
Buneary,4.076953503658973,69.97849565069404
Archeops,4.07566833282829,70.04086114585623
Fennekin,4.074290050948677,70.10780680981458
Alolan Vulpix,4.070122659495802,70.31061409188321
Excadrill,4.067016706189229,70.46214766050663
Larvesta,4.065538999362317,70.5343567806126
Sudowoodo,4.062252368952534,70.6952255804098
Mega Lopunny,4.060152689460944,70.79818939492304
Toucannon,4.058749794912484,70.86706791598755
Druddigon,4.057155937695284,70.94540353152298
Nuzleaf,4.056222472770626,70.99132208898318
Elekid,4.055963381434931,71.00407245385348
Rampardos,4.0557573371106,71.01421391167297
Relicanth,4.054611729643109,71.07062688928512
Teddiursa,4.052707620047085,71.16448983455601
Staravia,4.052029426660332,71.19795125972132
Inteleon,4.051883900983234,71.20513341004155
Lickilicky,4.048140271102885,71.39014258430932
Sirfetch'd,4.047383388410668,71.42760589998801
Landorus Therian Forme,4.044579834467907,71.56654437148245
Hattrem,4.04297448733422,71.64622378280134
Mega Medicham,4.042248132750202,71.68230463443206
Froakie,4.035485224867336,72.0191179165788
Seadra,4.034230422225573,72.08178472307257
Amoonguss,4.03411625715497,72.08748901082551
Magby,4.031519730689788,72.21734709387104
Infernape,4.030696062324355,72.25858943957952
Skuntank,4.026349572957063,72.4766152643903
Bronzor,4.026286176276218,72.47980019098428
Serperior,4.025705724641852,72.50896746599071
Quilava,4.025474485043686,72.5205903577492
Delphox,4.02299143570299,72.64551437198811
Crawdaunt,4.021273217978917,72.7320851064475
Hitmontop,4.020680215749763,72.76198688934758
Spheal,4.019788482766628,72.80697513597869
Tyrogue,4.01591973477002,73.00247719031012
Phione,4.015557973896771,73.02078511440779
Meloetta Pirouette Forme,4.012669437534382,73.16713238892486
Grapploct,4.011349377439287,73.23411065524388
Vespiquen,4.011332289668829,73.23497807008084
Poipole,4.00808532356236,73.3999881903774
Whiscash,4.004741721128245,73.57029791366365
Raboot,4.003268639687532,73.64545613147034
Breloom,4.0029324768928785,73.66261828020646
Rufflet,4.002797234132886,73.66952396885654
Roserade,3.999619553863715,73.83196730432014
Ash-Greninja,3.9990343449639805,73.86192227573956
Tapu Lele,3.9987974998193723,73.87404907538473
Lileep,3.9958383665105894,74.02572874193227
Tapu Fini,3.9953055909307618,74.0530708915905
Mega Audino,3.994736892983698,74.08226772788713
Yungoos,3.994583489315146,74.0901454120436
Rockruff,3.9937186502005675,74.13457286436055
Swalot,3.989323443159211,74.3607701041531
Drilbur,3.988516947255892,74.40235090991521
Haxorus,3.9873619204156587,74.46194155079468
Carvanha,3.98405282081454,74.63293041228522
Yamask,3.9806788129927932,74.80767751264979
Donphan,3.9804046964048583,74.82189255668742
Kubfu,3.97947287999185,74.8702345735918
Hawlucha,3.9774159203053947,74.97705887838393
Ducklett,3.97427000977323,75.14073066440746
Alolan Muk,3.9729784308283373,75.20803084784416
Swellow,3.9719771724890274,75.26024479655592
Landorus Incarnate Forme,3.971073290315828,75.30741187359422
Vaporeon,3.970943112427362,75.31420735142528
Quaxwell,3.9702776109916913,75.34895708980333
Malamar,3.9692771021354276,75.40122970690322
Beautifly,3.9684427068107166,75.44485128237574
